PointGap,HomeWin,Draw,AwayWin,HomeWinRate,DrawRate,AwayWinRate
-15,20,15,11,0.43478260869565216,0.32608695652173914,0.2391304347826087
-14,0,2,1,0.0,0.6666666666666666,0.3333333333333333
-13,1,2,3,0.16666666666666666,0.3333333333333333,0.5
-12,0,1,2,0.0,0.3333333333333333,0.6666666666666666
-11,1,1,5,0.14285714285714285,0.14285714285714285,0.7142857142857143
-10,13,12,23,0.2708333333333333,0.25,0.4791666666666667
-9,8,5,18,0.25806451612903225,0.16129032258064516,0.5806451612903226
-8,14,22,46,0.17073170731707318,0.2682926829268293,0.5609756097560976
-7,24,26,79,0.18604651162790697,0.20155038759689922,0.6124031007751938
-6,52,52,123,0.2290748898678414,0.2290748898678414,0.5418502202643172
-5,86,72,157,0.273015873015873,0.22857142857142856,0.4984126984126984
-4,134,108,166,0.3284313725490196,0.2647058823529412,0.4068627450980392
-3,167,139,205,0.3268101761252446,0.2720156555772994,0.40117416829745595
-2,239,149,207,0.4016806722689076,0.2504201680672269,0.34789915966386553
-1,300,220,211,0.4103967168262654,0.3009575923392613,0.28864569083447333
0,491,318,306,0.44035874439461886,0.2852017937219731,0.27443946188340806
1,363,184,158,0.5148936170212766,0.26099290780141843,0.22411347517730495
2,318,158,110,0.5426621160409556,0.2696245733788396,0.18771331058020477
3,296,109,67,0.6271186440677966,0.2309322033898305,0.1419491525423729
4,256,92,59,0.628992628992629,0.22604422604422605,0.14496314496314497
5,232,54,37,0.718266253869969,0.16718266253869968,0.11455108359133127
6,131,34,11,0.7443181818181818,0.19318181818181818,0.0625
7,84,24,13,0.6942148760330579,0.19834710743801653,0.10743801652892562
8,49,6,9,0.765625,0.09375,0.140625
9,22,5,1,0.7857142857142857,0.17857142857142858,0.03571428571428571
10,34,5,4,0.7906976744186046,0.11627906976744186,0.09302325581395349
11,4,0,0,1.0,0.0,0.0
12,0,0,2,0.0,0.0,1.0
13,5,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222
15,14,5,4,0.6086956521739131,0.21739130434782608,0.17391304347826086
